App ID,Module Name,Branch,Category,Priority,Purpose,Prompt for Claude Terminal,Setup Command,Files Created,Status
41,IDE-SYNC,BUILD,Development,P1,"Sync IDE projects across devices — cloud backup of code","Extension of IDE: add cloud backup so code is never lost if machine fails.","mkdir -p ~/cashbot-files/Apps/ide/sync","~/cashbot-files/Apps/ide/sync/backup.log",Ready
42,BROWSER-SCHEDULE,BUILD,Research,P1,"Schedule browser to fetch data on a timer (daily prices, leads, etc)","Extension of BROWSER: set fetch jobs to run daily/weekly automatically.","mkdir -p ~/cashbot-files/Apps/browser/scheduled","~/cashbot-files/Apps/browser/scheduled/jobs.csv",Ready
43,FILES-GDRIVE,BUILD,Organization,P1,"Sync FILES to Google Drive for cloud backup","Extension of FILES: mirror ~/cashbot-files/ to Google Drive.","mkdir -p ~/cashbot-files/Apps/files/gdrive","~/cashbot-files/Apps/files/gdrive/sync.log",Ready
44,SITES-REDIRECT,BUILD,Hosting,P0,"Create short links & redirects to track site traffic","Extension of SITES: add link shortener + tracking to see what converts.","mkdir -p ~/cashbot-files/Apps/sites/links","~/cashbot-files/Apps/sites/links/redirects.csv",Ready
45,VNC-BACKUP,BUILD,Remote,P1,"Automated daily desktop screenshots — visual backup of state","Extension of VNC: daily screenshots so they can rewind if something breaks.","mkdir -p ~/cashbot-files/Apps/vnc/screenshots","~/cashbot-files/Apps/vnc/screenshots/backup.log",Ready
46,GENERATORS-SCHEDULE,CONTENT,Bulk Output,P1,"Schedule generator runs — wake up to finished content batch","Extension of GENERATORS: set topics to generate on a timer (nightly, so content ready in morning).","mkdir -p ~/cashbot-files/Apps/generators/scheduled","~/cashbot-files/Apps/generators/scheduled/jobs.csv",Ready
47,CAPTIONS-TRENDING,CONTENT,Social,P1,"Auto-fetch trending topics and caption them daily","Extension of CAPTIONS: watch trending hashtags, auto-generate captions for them.","mkdir -p ~/cashbot-files/Apps/captions/trending","~/cashbot-files/Apps/captions/trending/topics.csv",Ready
48,VIRALSHORTS-IDEAS,CONTENT,Video,P1,"Feed trending TikTok/Shorts ideas into script generator","Extension of VIRALSHORTS: auto-pull trending video topics, auto-generate scripts.","mkdir -p ~/cashbot-files/Apps/viralshorts/trending","~/cashbot-files/Apps/viralshorts/trending/ideas.csv",Ready
49,MARKETINGCOPY-AB,CONTENT,Copywriting,P1,"A/B test headlines — generate 3 versions per offer","Extension of MARKETINGCOPY: for each product, write 3 headline versions + test which converts.","mkdir -p ~/cashbot-files/Apps/marketingcopy/ab-tests","~/cashbot-files/Apps/marketingcopy/ab-tests/results.csv",Ready
50,KEYWORDS-TRENDS,CONTENT,Research,P1,"Find trending keywords in real-time (Google Trends API)","Extension of KEYWORDS: pull Google Trends data to find what people are searching RIGHT NOW.","mkdir -p ~/cashbot-files/Apps/keywords/trends","~/cashbot-files/Apps/keywords/trends/live.csv",Ready
51,DIFFICULTY-CPC,CONTENT,SEO,P1,"Show CPC (cost-per-click) data alongside difficulty scores","Extension of DIFFICULTY: add advertising cost data so they see both traffic difficulty + money potential.","mkdir -p ~/cashbot-files/Apps/difficulty/cpc","~/cashbot-files/Apps/difficulty/cpc/pricing.csv",Ready
52,THUMBNAILIDEA-GENERATED,CONTENT,Design,P1,"Generate actual thumbnail images (not just concepts)","Extension of THUMBNAILIDEA: use IMAGEPROMPT to actually generate the image files.","mkdir -p ~/cashbot-files/Apps/thumbnailidea/images","~/cashbot-files/Apps/thumbnailidea/images/thumb-DATE.png",Ready
53,IMAGEPROMPT-BATCH,CONTENT,AI Images,P1,"Batch-generate all images at once (FLUX, Midjourney, DALL-E API)","Extension of IMAGEPROMPT: send all prompts to API at once, wait for images.","mkdir -p ~/cashbot-files/Apps/imageprompt/generated","~/cashbot-files/Apps/imageprompt/generated/batch-DATE.zip",Ready
54,VIDEOHOOKS-TEST,CONTENT,Copywriting,P1,"A/B test hooks — run 2 versions of same video to see which hooks better","Extension of VIDEOHOOKS: pick top 2 hooks per video, run split tests.","mkdir -p ~/cashbot-files/Apps/videohooks/ab-tests","~/cashbot-files/Apps/videohooks/ab-tests/results.csv",Ready
55,LEADS-FILTER,REACH,Sales,P1,"Filter leads by fit score — only pursue the hot ones first","Extension of LEADS: pre-filter by your custom criteria (e.g. has website + 10+ employees).","mkdir -p ~/cashbot-files/Apps/leads/filtered","~/cashbot-files/Apps/leads/filtered/hot-DATE.csv",Ready
56,SCRAPER-MONITOR,REACH,Data,P1,"Watch competitor sites for changes (redesign, pricing, content)","Extension of SCRAPER: periodically re-scrape competitor sites, flag what changed.","mkdir -p ~/cashbot-files/Apps/scraper/monitor","~/cashbot-files/Apps/scraper/monitor/changes.csv",Ready
57,BLAST-REPLY-TRACK,REACH,Outreach,P1,"Track which prospects replied, auto-tag as warm leads","Extension of BLAST: sort replies into workflow (replied, interested, dead).","mkdir -p ~/cashbot-files/Apps/blast/replies","~/cashbot-files/Apps/blast/replies/tracking.csv",Ready
58,AUTOPOST-ANALYTICS,REACH,Social,P1,"Track which posts got most engagement — double down on winners","Extension of AUTOPOST: pull view counts, likes, replies — see what worked.","mkdir -p ~/cashbot-files/Apps/autopost/analytics","~/cashbot-files/Apps/autopost/analytics/performance.csv",Ready
59,EMAIL-SEQUENCE,REACH,Communication,P1,"Set up email sequence — initial email, wait 3 days, follow-up, etc","Extension of EMAIL: define rules (if no reply in 3 days, send follow-up).","mkdir -p ~/cashbot-files/Apps/email/sequences","~/cashbot-files/Apps/email/sequences/rules.json",Ready
60,INBOX-LABEL,REACH,Communication,P1,"Auto-tag incoming messages (lead, support, payment, etc)","Extension of INBOX: set rules to auto-label incoming messages.","mkdir -p ~/cashbot-files/Apps/inbox/labels","~/cashbot-files/Apps/inbox/labels/rules.json",Ready
61,COMMUNITY-BOT,REACH,Growth,P1,"Auto-reply to common questions in community (FAQ answers)","Extension of COMMUNITY: bot handles FAQ, humans handle real conversations.","mkdir -p ~/cashbot-files/Apps/community/bot","~/cashbot-files/Apps/community/bot/faq.json",Ready
62,RESEARCH-COMPETITOR,REACH,Intelligence,P1,"Deep competitor research — map their offers, pricing, messaging","Extension of RESEARCH: gather detailed competitive intel.","mkdir -p ~/cashbot-files/Apps/research/competitors","~/cashbot-files/Apps/research/competitors/analysis.csv",Ready
63,ANALYTICS-COHORT,REACH,Measurement,P1,"Cohort analysis — compare behavior of different visitor groups","Extension of ANALYTICS: segment visitors (first-time, repeat, paid, organic) and compare.","mkdir -p ~/cashbot-files/Apps/analytics/cohorts","~/cashbot-files/Apps/analytics/cohorts/data.csv",Ready
64,VOICE-COACHING,REACH,Communication,P2,"Record coaching calls and reference them later (searchable)","Extension of VOICE: keep searchable archive of calls with mentors/coaches.","mkdir -p ~/cashbot-files/Apps/voice/coaching","~/cashbot-files/Apps/voice/coaching/archive.csv",Ready
65,PHONE-GREETING,REACH,Automation,P1,"AI voicemail greeting in your voice (cloned safely)","Extension of PHONE: AI voicemail so people reach you even when offline.","mkdir -p ~/cashbot-files/Apps/phone/voicemail","~/cashbot-files/Apps/phone/voicemail/greeting.mp3",Ready
66,SUPERFRACTAL-BRAIN-SEARCH,BRAIN,Memory,P1,"Ask your brain complex questions across all your work","Extension of SUPERFRACTAL: multi-query brain (find all my interactions with Client X, etc).","mkdir -p ~/cashbot-files/Apps/superfractal/searches","~/cashbot-files/Apps/superfractal/searches/history.csv",Ready
67,OS-WIDGET,BRAIN,Integration,P0,"Floating widget dock — dock always visible, drag-accessible","Extension of OS SHELL: widget dock you can move anywhere, always visible.","mkdir -p ~/cashbot-files/Apps/shell/widget","~/cashbot-files/Apps/shell/widget/config.json",Ready
68,SITES-SEO,BUILD,Hosting,P1,"Auto-generate SEO tags + sitemap for each site","Extension of SITES: add meta descriptions, og tags, robots.txt, sitemap.xml.","mkdir -p ~/cashbot-files/Apps/sites/seo","~/cashbot-files/Apps/sites/seo/metadata.json",Ready
69,LEAD-QUALITY-SCORE,REACH,Sales,P2,"ML-based lead scoring — predict which leads will close","Extension of LEADS: train simple model on your past deals, score new leads.","mkdir -p ~/cashbot-files/Apps/leads/ml-scoring","~/cashbot-files/Apps/leads/ml-scoring/model.pkl",Ready
70,GENERATORS-BRAND-VOICE,CONTENT,Bulk Output,P1,"Lock in your brand voice — all generators use consistent tone","Extension of GENERATORS: define your voice once, all content matches it.","mkdir -p ~/cashbot-files/Apps/generators/brand","~/cashbot-files/Apps/generators/brand/voice-guide.md",Ready
71,SCRAPER-FORM-AUTO,REACH,Data,P0,"Auto-fill contact forms at scale (legal, disclosed, no spam)","Extension of SCRAPER: fill out site contact forms with your offer.","mkdir -p ~/cashbot-files/Apps/scraper/form-fills","~/cashbot-files/Apps/scraper/form-fills/results.csv",Ready
72,EMAIL-CALENDAR-LINK,REACH,Communication,P1,"Email includes calendar link so clients book their own time","Extension of EMAIL: attach Calendly link so no back-and-forth.","mkdir -p ~/cashbot-files/Apps/email/calendar","~/cashbot-files/Apps/email/calendar/links.csv",Ready
73,COMMUNITY-STATS,REACH,Growth,P1,"Dashboard showing community growth, activity, engagement","Extension of COMMUNITY: see member count, daily posts, conversation health.","mkdir -p ~/cashbot-files/Apps/community/stats","~/cashbot-files/Apps/community/stats/dashboard.html",Ready
74,BROWSER-PRICE-ALERT,BUILD,Research,P1,"Watch competitor prices, alert you when they drop","Extension of BROWSER: monitor prices on X URLs, notify you of changes.","mkdir -p ~/cashbot-files/Apps/browser/price-alerts","~/cashbot-files/Apps/browser/price-alerts/watches.csv",Ready
75,PAY-PAYMENT-PLAN,EARN,Invoicing,P2,"Create payment plans — invoice them $100/mo instead of $1k upfront","Extension of PAY: break invoices into installments.","mkdir -p ~/cashbot-files/Apps/pay/plans","~/cashbot-files/Apps/pay/plans/plans.csv",Ready
76,TERMINAL-ALIASES,BUILD,System,P0,"Create custom shortcuts (alias claude-sales='claude < my-sales-prompt')","Extension of TERMINAL: set up quick-run commands for common jobs.","mkdir -p ~/cashbot-files/Apps/terminal/aliases && echo 'alias cashbot-sales=\"claude < ~/cashbot-files/prompts/sales.txt\"' >> ~/.bashrc","~/cashbot-files/Apps/terminal/aliases.sh",Ready
77,WALLET-MULTI,EARN,Crypto,P1,"Manage multiple wallets (main, savings, client trust)","Extension of WALLET: set up separate wallets for different purposes.","mkdir -p ~/cashbot-files/Apps/wallet/multi","~/cashbot-files/Apps/wallet/multi/wallets.csv",Ready
78,TRAFFIC-TO-REVENUE,REACH,Measurement,P2,"Calculate: traffic → conversions → revenue per visitor","Extension of ANALYTICS: track actual dollars per visit.","mkdir -p ~/cashbot-files/Apps/analytics/revenue","~/cashbot-files/Apps/analytics/revenue/tracking.csv",Ready
79,PROMPT-BANK,REACH,Automation,P1,"Store your best outreach templates (personalize + send)","Extension of BLAST & EMAIL: save winning prompts, reuse them.","mkdir -p ~/cashbot-files/Apps/blast/templates","~/cashbot-files/Apps/blast/templates/bank.csv",Ready
80,CALENDAR-BLOCK,REACH,Planning,P1,"Block time on calendar for specific work (e.g. client day Wednesday)","Extension of EMAIL: visual calendar blocks for deep work.","mkdir -p ~/cashbot-files/Apps/email/calendar-blocks","~/cashbot-files/Apps/email/calendar-blocks/schedule.json",Ready
81,CONTENT-CALENDAR,CONTENT,Planning,P1,"Visual calendar of what posts when (whole month at a glance)","Extension of AUTOPOST: see the full month of scheduled posts.","mkdir -p ~/cashbot-files/Apps/autopost/calendar-visual","~/cashbot-files/Apps/autopost/calendar-visual/month.html",Ready
82,LEADS-TERRITORY,REACH,Sales,P1,"Map leads by geography — assign territories to team","Extension of LEADS: show leads on map, manage coverage.","mkdir -p ~/cashbot-files/Apps/leads/territories","~/cashbot-files/Apps/leads/territories/map.html",Ready
83,INVOICE-TEMPLATE,EARN,Invoicing,P0,"Create custom invoice design (logo, colors, terms)","Extension of PAY: white-label invoices with your branding.","mkdir -p ~/cashbot-files/Apps/pay/templates","~/cashbot-files/Apps/pay/templates/custom.html",Ready
84,EXPENSE-TRACKER,EARN,Finance,P1,"Track all business expenses — deduct from revenue to see real profit","Extension of PAY: simple bookkeeping.","mkdir -p ~/cashbot-files/Apps/pay/expenses","~/cashbot-files/Apps/pay/expenses/ledger.csv",Ready
85,SLACK-INTEGRATION,BUILD,Integration,P1,"Send all notifications (new lead, payment landed, post went live) to Slack","Extension of all modules: consolidate alerts.","mkdir -p ~/cashbot-files/Apps/integrations/slack","~/cashbot-files/Apps/integrations/slack/config.json",Ready
86,DISCORD-BOT,REACH,Growth,P1,"Bot in your Discord community — answers FAQs, announces posts","Extension of COMMUNITY: Discord mirror of your community.","mkdir -p ~/cashbot-files/Apps/integrations/discord","~/cashbot-files/Apps/integrations/discord/bot.json",Ready
87,GDRIVE-BACKUP,BUILD,Organization,P1,"Auto-backup ~/cashbot-files to Google Drive nightly","Extension of FILES: cloud backup of everything.","mkdir -p ~/cashbot-files/Apps/files/gdrive-backup","~/cashbot-files/Apps/files/gdrive-backup/log.csv",Ready
88,PHONE-SMS,REACH,Communication,P1,"Send SMS to warm leads (invite to community, remind of offer)","Extension of PHONE: SMS outreach at careful pace.","mkdir -p ~/cashbot-files/Apps/phone/sms","~/cashbot-files/Apps/phone/sms/history.csv",Ready
89,LEAD-CADENCE,REACH,Outreach,P1,"Define follow-up cadence (email day 1, call day 3, email day 7)","Extension of BLAST: orchestrated multi-touch sequence.","mkdir -p ~/cashbot-files/Apps/blast/cadence","~/cashbot-files/Apps/blast/cadence/rules.json",Ready
90,SITE-FORM-CAPTURE,BUILD,Hosting,P1,"Contact form on site → auto-add to LEADS, send to INBOX","Extension of SITES: forms feed your pipeline.","mkdir -p ~/cashbot-files/Apps/sites/forms","~/cashbot-files/Apps/sites/forms/submissions.csv",Ready
91,PRODUCT-FEEDBACK,CONTENT,Research,P1,"Collect feedback from customers (what to improve, what to sell next)","Extension of COMMUNITY & VOICE: structured feedback tool.","mkdir -p ~/cashbot-files/Apps/research/feedback","~/cashbot-files/Apps/research/feedback/responses.csv",Ready
92,RANK-TRACKER,CONTENT,SEO,P1,"Watch your keyword rankings over time (which keywords you rank for)","Extension of DIFFICULTY: track progress on your keywords.","mkdir -p ~/cashbot-files/Apps/keywords/rankings","~/cashbot-files/Apps/keywords/rankings/tracker.csv",Ready
93,AFFILIATE-TRACKER,REACH,Sales,P1,"Track affiliate links you promote (clicks, commissions)","Extension of MARKETINGCOPY & AUTOPOST: affiliate income tracking.","mkdir -p ~/cashbot-files/Apps/analytics/affiliates","~/cashbot-files/Apps/analytics/affiliates/tracking.csv",Ready
94,TEAM-CAPACITY,BUILD,Planning,P0,"Track team bandwidth — who's swamped, who has capacity","Extension of TERMINAL/COMMAND: team workload visibility.","mkdir -p ~/cashbot-files/Apps/shell/team","~/cashbot-files/Apps/shell/team/capacity.csv",Ready
95,TASK-QUEUE,BUILD,Planning,P1,"Task queue with priority — what to do next (urgent/important matrix)","Extension of TERMINAL: structured task workflow.","mkdir -p ~/cashbot-files/Apps/shell/tasks","~/cashbot-files/Apps/shell/tasks/queue.csv",Ready
96,CLIENT-PORTAL,REACH,Communication,P1,"Client login → they see their project status, invoices, deliverables","Extension of FILES & PAY: client-facing dashboard.","mkdir -p ~/cashbot-files/Apps/sites/client-portal","~/cashbot-files/Apps/sites/client-portal/portal.html",Ready
97,LIFETIME-VALUE,REACH,Sales,P1,"Calculate LTV per customer (how much you earned from each repeat)","Extension of ANALYTICS & PAY: customer value metric.","mkdir -p ~/cashbot-files/Apps/analytics/ltv","~/cashbot-files/Apps/analytics/ltv/data.csv",Ready
98,CHURN-PREDICTION,REACH,Sales,P2,"Predict which customers will cancel or go dormant","Extension of ANALYTICS: retention focus.","mkdir -p ~/cashbot-files/Apps/analytics/churn","~/cashbot-files/Apps/analytics/churn/predictions.csv",Ready
99,UPSELL-OPPORTUNITY,REACH,Sales,P1,"Identify customers ready for upsell (bought 3x, high engagement)","Extension of ANALYTICS: growth opportunity finder.","mkdir -p ~/cashbot-files/Apps/analytics/upsell","~/cashbot-files/Apps/analytics/upsell/candidates.csv",Ready
100,REFUND-POLICY,EARN,Finance,P1,"Define & track refunds (policy, requests, approvals)","Extension of PAY: refund workflow.","mkdir -p ~/cashbot-files/Apps/pay/refunds","~/cashbot-files/Apps/pay/refunds/policy.md",Ready
101,TAX-SUMMARY,EARN,Finance,P1,"Annual tax summary (income, expenses, profit) — hand to accountant","Extension of PAY & EXPENSE-TRACKER: tax prep.","mkdir -p ~/cashbot-files/Apps/pay/tax","~/cashbot-files/Apps/pay/tax/summary.csv",Ready
102,BILLING-REMINDER,REACH,Communication,P1,"Auto-send payment reminder 3 days before due date","Extension of EMAIL: payment collection workflow.","mkdir -p ~/cashbot-files/Apps/email/billing-reminders","~/cashbot-files/Apps/email/billing-reminders/log.csv",Ready
103,ONBOARDING-SEQUENCE,REACH,Communication,P1,"Welcome sequence for new customers (7 days, 3 emails, 1 call)","Extension of EMAIL & VOICE: customer success.","mkdir -p ~/cashbot-files/Apps/email/onboarding","~/cashbot-files/Apps/email/onboarding/sequence.json",Ready
104,TESTIMONIAL-REQUEST,REACH,Communication,P1,"Request testimonials from happy customers (auto-send template)","Extension of EMAIL: case-building.","mkdir -p ~/cashbot-files/Apps/email/testimonials","~/cashbot-files/Apps/email/testimonials/requests.csv",Ready
105,REVIEW-REQUEST,REACH,Communication,P1,"Ask customers to leave reviews on Google, Yelp, TrustPilot","Extension of EMAIL: reputation building.","mkdir -p ~/cashbot-files/Apps/email/reviews","~/cashbot-files/Apps/email/reviews/requests.csv",Ready
106,COLD-CALL-SCRIPT,REACH,Outreach,P1,"Script generator for cold calls (VOICE module reads it for you)","Extension of VOICE & BLAST: phone outreach.","mkdir -p ~/cashbot-files/Apps/phone/scripts","~/cashbot-files/Apps/phone/scripts/library.csv",Ready
107,MEETING-PREP,REACH,Planning,P1,"Before meeting: pull lead intel, past conversation notes, your best pitch","Extension of RESEARCH & EMAIL: meeting docs.","mkdir -p ~/cashbot-files/Apps/voice/meeting-prep","~/cashbot-files/Apps/voice/meeting-prep/templates.csv",Ready
108,FOLLOWUP-AFTER-CALL,REACH,Communication,P1,"Auto-draft follow-up email based on call transcript (VOICE output)","Extension of VOICE & EMAIL: sales workflow.","mkdir -p ~/cashbot-files/Apps/email/auto-followup","~/cashbot-files/Apps/email/auto-followup/log.csv",Ready
109,WIN-LOSS-ANALYSIS,REACH,Sales,P2,"Analyze: why did we win this? Why did we lose that? (patterns)","Extension of ANALYTICS & PAY: sales intel.","mkdir -p ~/cashbot-files/Apps/analytics/win-loss","~/cashbot-files/Apps/analytics/win-loss/analysis.csv",Ready
110,MONTHLY-REVENUE-TARGET,REACH,Planning,P1,"Set revenue target, track progress, show remaining $ to hit goal","Extension of PAY & ANALYTICS: goal tracking.","mkdir -p ~/cashbot-files/Apps/analytics/targets","~/cashbot-files/Apps/analytics/targets/monthly.csv",Ready
111,BURNDOWN-CHART,BUILD,Planning,P1,"Burndown of remaining work (tasks/bugs/features left to ship)","Extension of TASK-QUEUE: project health.","mkdir -p ~/cashbot-files/Apps/shell/projects","~/cashbot-files/Apps/shell/projects/burndown.csv",Ready
112,SLACK-STANDUP,BUILD,Communication,P1,"Daily standup: auto-post to Slack (what you did, blockers, next)","Extension of SLACK-INTEGRATION: team sync.","mkdir -p ~/cashbot-files/Apps/integrations/slack/standups","~/cashbot-files/Apps/integrations/slack/standups/log.csv",Ready
113,DAILY-DIGEST,REACH,Intelligence,P1,"Morning email summary (new leads, replies, payments, tasks)","Extension of EMAIL & INBOX: daily briefing.","mkdir -p ~/cashbot-files/Apps/email/digests","~/cashbot-files/Apps/email/digests/schedule.json",Ready
114,WEEKLY-REPORT,REACH,Measurement,P1,"Weekly report (revenue, new leads, growth %, next week focus)","Extension of ANALYTICS & AUTOPOST: business health.","mkdir -p ~/cashbot-files/Apps/analytics/weekly","~/cashbot-files/Apps/analytics/weekly/reports.csv",Ready
115,QUARTERLY-PLAN,REACH,Planning,P0,"Q plan with goals, revenue target, focus areas, resources","Extension of TASK-QUEUE & ANALYTICS: strategic planning.","mkdir -p ~/cashbot-files/Apps/shell/planning","~/cashbot-files/Apps/shell/planning/q-goals.md",Ready
116,ANNUAL-REVIEW,REACH,Planning,P0,"Year review: revenue, growth, wins, lessons, next year plan","Extension of ANALYTICS: annual retrospective.","mkdir -p ~/cashbot-files/Apps/analytics/annual","~/cashbot-files/Apps/analytics/annual/review.md",Ready
117,ADVICE-REQUEST,BRAIN,Support,P1,"Ask the brain for advice on business decision (brain knows your whole history)","Extension of SUPERFRACTAL: decision support.","mkdir -p ~/cashbot-files/Apps/superfractal/advice","~/cashbot-files/Apps/superfractal/advice/log.csv",Ready
118,SKILL-TRACKER,BRAIN,Development,P1,"Track skills you're building (coding, sales, writing, copywriting)","Extension of SUPERFRACTAL: personal development.","mkdir -p ~/cashbot-files/Apps/superfractal/skills","~/cashbot-files/Apps/superfractal/skills/progress.csv",Ready
119,GOAL-OKR,REACH,Planning,P0,"OKRs (Objectives & Key Results) for quarter/year","Extension of QUARTERLY-PLAN & TASK-QUEUE: goal framework.","mkdir -p ~/cashbot-files/Apps/shell/planning/okr","~/cashbot-files/Apps/shell/planning/okr/current.json",Ready
120,SYSTEM-HEALTH,BUILD,Operations,P1,"Check if all modules are up and running (heartbeat monitoring)","Extension of OS SHELL: system status dashboard.","mkdir -p ~/cashbot-files/Apps/shell/health","~/cashbot-files/Apps/shell/health/status.json",Ready
121,LOG-EXPORT,BUILD,Operations,P1,"Export all logs for the month (to give to accountant/auditor)","Extension of FILES: compliance.","mkdir -p ~/cashbot-files/logs/export","~/cashbot-files/logs/export/monthly.zip",Ready
122,EMERGENCY-BACKUP,BUILD,Operations,P0,"One-click emergency backup of entire ~/cashbot-files/ to external drive","Extension of FILES: disaster recovery.","mkdir -p ~/cashbot-files/Apps/files/emergency && echo 'Emergency backup ready' > ~/cashbot-files/Apps/files/emergency/.ready","~/cashbot-files/Apps/files/emergency/backup.log",Ready
